institution_id,institution_name,country,branch_of_government,level_of_government,has_genai_activity,n_total_rows,n_runs_covered,runs,n_activity_source_rows,activities_found,tools_found,best_summary
EXT-ra-litong-aut-92baa46c5f,Ministry of Parliamentary Affairs,South Sudan,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry of Parliamentary Affairs was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-92fa9e595f,Ministry Of Culture,Thailand,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry Of Culture was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-931814d15c,Ministry Of Finance & Economic Planning,Sudan,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry Of Finance & Economic Planning was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-934e635ac3,Ministry Of Defense,Kyrgyzstan,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry Of Defense was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-9387e1711f,Ministry Of Energy & Water,Lebanon,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry Of Energy & Water was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-9693bc193d,Ministry For Defense,Singapore,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry For Defense was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-985d87ca3c,Ministry Of Tourism,Lebanon,executive,national,yes,1,1,ra_litong_aut_v1,1,Public-facing chatbot / virtual assistant Citizen service / inquiries,OpenAI,Ministry Of Tourism has documented generative AI activity in RA manual coding.
EXT-ra-litong-aut-99f5dc5512,Ministry of Endowments and Guidance,Yemen,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry of Endowments and Guidance was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-9afa863619,Ministry of Tourism,Mauritius,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry of Tourism was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-9d4c7c3c57,"Ministry of Water, Forests, Hunting and Fishing",Central African Republic,executive,national,no,1,1,ra_litong_aut_v1,0,,,"Ministry of Water, Forests, Hunting and Fishing was checked in RA manual coding and no generative AI activity was found."
EXT-ra-litong-aut-9dc965de83,Ministry of Popular Power for Ecological Mining Development,Venezuela,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry of Popular Power for Ecological Mining Development was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-a0b365e3e0,"Ministry Of Islamic Affairs, Culture & Charitable Assets",Djibouti,executive,national,no,1,1,ra_litong_aut_v1,0,,,"Ministry Of Islamic Affairs, Culture & Charitable Assets was checked in RA manual coding and no generative AI activity was found."
EXT-ra-litong-aut-a0ebb144d9,Ministry Of Foreign Affairs,Chad,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry Of Foreign Affairs was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-a599b54c09,Ministry of Fisheries and Blue Economy,Somalia,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry of Fisheries and Blue Economy was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-a61962708d,Ministry Of Education,China,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry Of Education was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-aa9188988f,Ministry Of Agriculture,Ethiopia,executive,national,yes,1,1,ra_litong_aut_v1,1,Public-facing chatbot / virtual assistant Citizen service / inquiries,,Ministry Of Agriculture has documented generative AI activity in RA manual coding.
EXT-ra-litong-aut-ac375b13f0,Ministry Of Jal Shakti,India,executive,national,yes,1,1,ra_litong_aut_v1,1,Public-facing chatbot / virtual assistant Citizen service / inquiries,,Ministry Of Jal Shakti has documented generative AI activity in RA manual coding.
EXT-ra-litong-aut-aee5f82a3f,Ministry Of Foreign Affairs,Uzbekistan,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry Of Foreign Affairs was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-b13f3e8596,Ministry Of Foreign Affairs,Afghanistan,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry Of Foreign Affairs was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-b25f1f74cd,"Ministry of Science, Technological Development and Innovation",Serbia,executive,national,yes,1,1,ra_litong_aut_v1,1,Image/video generation Communications / outreach,OpenAI,"Ministry of Science, Technological Development and Innovation has documented generative AI activity in RA manual coding."
EXT-ra-litong-aut-b3876b64da,Ministry of Foreign Affairs,Turkmenistan,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry of Foreign Affairs was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-b3dab24192,"The Federal Ministry of Art, Culture, Tourism and the Creative Economy",Nigeria,executive,national,no,1,1,ra_litong_aut_v1,0,,,"The Federal Ministry of Art, Culture, Tourism and the Creative Economy was checked in RA manual coding and no generative AI activity was found."
EXT-ra-litong-aut-b6d0cfe31c,"Ministry of Agriculture, Fisheries, Environment, Tourism and Handicrafts",Comoros,executive,national,no,1,1,ra_litong_aut_v1,0,,,"Ministry of Agriculture, Fisheries, Environment, Tourism and Handicrafts was checked in RA manual coding and no generative AI activity was found."
EXT-ra-litong-aut-b836fc20dc,Ministry of Local Government,Uganda,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry of Local Government was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-b8c3bdfdb5,"Ministry of Agriculture, Livestock and Marine Resources",Libya,executive,national,no,1,1,ra_litong_aut_v1,0,,,"Ministry of Agriculture, Livestock and Marine Resources was checked in RA manual coding and no generative AI activity was found."
EXT-ra-litong-aut-bb7634cd32,Ministry of Internal Trade and Regulation of National Market Regulation,Algeria,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry of Internal Trade and Regulation of National Market Regulation was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-bc26bcbfa9,Ministry of Vocational and Technical Education,Niger,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry of Vocational and Technical Education was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-c7316e58ea,Ministry Of Environment,Jordan,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry Of Environment was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-ccf5b511b5,Ministry Of Finance,Laos,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry Of Finance was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-cdbf1759f9,Ministry Of Popular Power For Fisheries & Aquaculture,Venezuela,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry Of Popular Power For Fisheries & Aquaculture was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-d455220a57,"Ministry of Higher Education, Science and Technology",South Sudan,executive,national,no,1,1,ra_litong_aut_v1,0,,,"Ministry of Higher Education, Science and Technology was checked in RA manual coding and no generative AI activity was found."
EXT-ra-litong-aut-d59d2406e1,Ministry Of Local Development,El Salvador,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry Of Local Development was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-d6d132f28a,Ministry For Commerce,Pakistan,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry For Commerce was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-d6df15d75e,Ministry For Manpower,Singapore,executive,national,yes,1,1,ra_litong_aut_v1,1,Document drafting / summarization Citizen service / inquiries,AWS (Bedrock),Ministry For Manpower has documented generative AI activity in RA manual coding.
EXT-ra-litong-aut-d73fcbf871,Ministry of Commerce and Industry,Guinea-Bissau,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry of Commerce and Industry was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-d7ec1d64ec,"Ministry of Industry, Mine and Trade",Iran,executive,national,no,1,1,ra_litong_aut_v1,0,,,"Ministry of Industry, Mine and Trade was checked in RA manual coding and no generative AI activity was found."
EXT-ra-litong-aut-d979cb558e,Ministry Of Internal Affairs,Ukraine,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry Of Internal Affairs was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-dea9f94876,Ministry Of Interior,Nigeria,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry Of Interior was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-e23a72cbda,Ministry Of Foreign Affairs,Kyrgyzstan,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry Of Foreign Affairs was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-e373a1bf02,Ministry of Tourism and Youth,Serbia,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry of Tourism and Youth was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-e75c979b34,Ministry Of Housing & Construction,Libya,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry Of Housing & Construction was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-e7fa0e63f1,Ministry Of Justice,Turkmenistan,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry Of Justice was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-e8a6b3ff51,Ministry Of Labor and Skills,Ethiopia,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry Of Labor and Skills was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-e996221f9b,Ministry of Environment,Lebanon,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry of Environment was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-edf5d78d80,"Ministry of Social Integration, Social Security and National Solidarity",Mauritius,executive,national,yes,1,1,ra_litong_aut_v1,1,Public-facing chatbot / virtual assistant Citizen service / inquiries,,"Ministry of Social Integration, Social Security and National Solidarity has documented generative AI activity in RA manual coding."
EXT-ra-litong-aut-eff1df60f2,Ministry of Defense,Djibouti,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry of Defense was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-f10a72316f,Ministry Of Foreign Affairs & International Cooperation,Guyana,executive,national,yes,1,1,ra_litong_aut_v1,1,Public-facing chatbot / virtual assistant Citizen service / inquiries,,Ministry Of Foreign Affairs & International Cooperation has documented generative AI activity in RA manual coding.
EXT-ra-litong-aut-f23ac58fce,Ministry of Construction,Cuba,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry of Construction was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-f34b5fc49f,"Ministry of Hydraulics, Sanitation and Hygiene",Côte d’Ivoire,executive,national,no,1,1,ra_litong_aut_v1,0,,,"Ministry of Hydraulics, Sanitation and Hygiene was checked in RA manual coding and no generative AI activity was found."
EXT-ra-litong-aut-f5480895ae,Ministry Of Culture & Information Policy,Ukraine,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry Of Culture & Information Policy was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-fb0fc1ca52,Ministry Of Tourism,Ethiopia,executive,national,yes,1,1,ra_litong_aut_v1,1,Public-facing chatbot / virtual assistant Citizen service / inquiries,,Ministry Of Tourism has documented generative AI activity in RA manual coding.
EXT-ra-litong-aut-fbab6a2d99,Ministry Of Women And Rights of Women,Haiti,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry Of Women And Rights of Women was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-aut-fbc62e7c58,Ministry of Agriculture,Tanzania,executive,national,no,1,1,ra_litong_aut_v1,0,,,Ministry of Agriculture was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-07dfd15c22,Ministry of Health and Wellness,Jamaica,executive,national,yes,1,1,ra_litong_dem_v1,1,Public-facing chatbot / virtual assistant Citizen service / inquiries,,Ministry of Health and Wellness has documented generative AI activity in RA manual coding.
EXT-ra-litong-dem-0984b49323,Ministry of Education,Timor-Leste,executive,national,yes,1,1,ra_litong_dem_v1,1,Internal assistant / knowledge base (RAG) Internal administration (HR/finance/procurement),Google (Gemini/Vertex),Ministry of Education has documented generative AI activity in RA manual coding.
EXT-ra-litong-dem-0a4d7cd256,Ministry of the Interior,Uruguay,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry of the Interior was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-0d9134a39b,Ministry of Children and Families,Norway,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry of Children and Families was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-11fa6705b7,"Ministry Of Land, Infrastructure, Transport, & Tourism",Japan,executive,national,yes,1,1,ra_litong_dem_v1,1,Internal assistant / knowledge base (RAG) Data analysis / reporting,,"Ministry Of Land, Infrastructure, Transport, & Tourism has documented generative AI activity in RA manual coding."
EXT-ra-litong-dem-14622e9e07,Department for Business and Trade,United Kingdom,executive,national,yes,1,1,ra_litong_dem_v1,1,Public-facing chatbot / virtual assistant Citizen service / inquiries,AWS (Bedrock),Department for Business and Trade has documented generative AI activity in RA manual coding.
EXT-ra-litong-dem-19d9916dd4,Ministry Of Environment & Natural Resources,Guatemala,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry Of Environment & Natural Resources was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-209c9e7eb1,Secretariat of Education,Honduras,executive,national,no,1,1,ra_litong_dem_v1,0,,,Secretariat of Education was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-2a0f6d5391,Ministry of Smart Administration and Regional Development,Latvia,executive,national,yes,1,1,ra_litong_dem_v1,1,Document drafting / summarization Internal administration (HR/finance/procurement),OpenAI,Ministry of Smart Administration and Regional Development has documented generative AI activity in RA manual coding.
EXT-ra-litong-dem-2aa29b703d,Ministry of Justice,Cabo Verde,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry of Justice was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-2ffef443c2,Ministry of Energy,Bulgaria,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry of Energy was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-30c29a9d74,"Ministry of Family, Labor and Social Protection",Mongolia,executive,national,yes,1,1,ra_litong_dem_v1,1,Public-facing chatbot / virtual assistant Citizen service / inquiries,,"Ministry of Family, Labor and Social Protection has documented generative AI activity in RA manual coding."
EXT-ra-litong-dem-35342b597a,Ministry of Foreign Affairs,Colombia,executive,national,yes,1,1,ra_litong_dem_v1,1,Public-facing chatbot / virtual assistant Citizen service / inquiries,OpenAI,Ministry of Foreign Affairs has documented generative AI activity in RA manual coding.
EXT-ra-litong-dem-36799a5174,Ministry of Home Affairs and Internal Security,Zambia,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry of Home Affairs and Internal Security was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-3861e4ed37,Ministry of the Interior and Health,Denmark,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry of the Interior and Health was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-39921f4529,Ministry Of Small & Medium Enterprises,Zambia,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry Of Small & Medium Enterprises was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-3a27fc097b,"Ministry Of Public Works, Services, & Housing",Bolivia,executive,national,no,1,1,ra_litong_dem_v1,0,,,"Ministry Of Public Works, Services, & Housing was checked in RA manual coding and no generative AI activity was found."
EXT-ra-litong-dem-3d6875d2e2,Ministry for the Civil Service,Fiji,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry for the Civil Service was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-4301207b0b,Secretariat of National Defense,Mexico,executive,national,no,1,1,ra_litong_dem_v1,0,,,Secretariat of National Defense was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-46fd143594,Ministry of Mobility and Public Works,Luxembourg,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry of Mobility and Public Works was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-4c2af1f3fd,Ministry of Finance,Sweden,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry of Finance was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-4cd2721c65,Ministry of Foreign Affairs,Denmark,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry of Foreign Affairs was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-4ee2d7990b,Ministry Of Agriculture,Indonesia,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry Of Agriculture was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-50c73d7e0d,Ministry Of Justice & Security,Netherlands,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry Of Justice & Security was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-5d553bc08b,Ministry of Public Education,Costa Rica,executive,national,yes,1,1,ra_litong_dem_v1,1,Image/video generation Communications / outreach,OpenAI,Ministry of Public Education has documented generative AI activity in RA manual coding.
EXT-ra-litong-dem-5d57e44f39,Ministry of Religious Services,Israel,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry of Religious Services was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-6161eb0d00,Ministry of Public Security and Parlimentry Affairs,Sri Lanka,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry of Public Security and Parlimentry Affairs was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-6484e42917,Ministry Of Environment,Sri Lanka,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry Of Environment was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-6b3662a0ee,National Institute of Women,Costa Rica,executive,national,yes,1,1,ra_litong_dem_v1,1,Public-facing chatbot / virtual assistant Citizen service / inquiries,OpenAI,National Institute of Women has documented generative AI activity in RA manual coding.
EXT-ra-litong-dem-6e2bc500c0,Ministry of Land and Forest Management,Suriname,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry of Land and Forest Management was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-6eaf5209dc,"Department of Climate Change, Energy, the Environment and Water",Australia,executive,national,yes,1,1,ra_litong_dem_v1,1,Document drafting / summarization Internal administration (HR/finance/procurement),,"Department of Climate Change, Energy, the Environment and Water has documented generative AI activity in RA manual coding."
EXT-ra-litong-dem-6f35c23ebc,"Ministry Of Education, Culture, And Science",São Tomé and Príncipe,executive,national,no,1,1,ra_litong_dem_v1,0,,,"Ministry Of Education, Culture, And Science was checked in RA manual coding and no generative AI activity was found."
EXT-ra-litong-dem-715cdf4100,Ministry For Senior Citizens,Denmark,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry For Senior Citizens was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-746c8996ed,"Ministry of the Sea, Transport and Infrastructure",Croatia,executive,national,no,1,1,ra_litong_dem_v1,0,,,"Ministry of the Sea, Transport and Infrastructure was checked in RA manual coding and no generative AI activity was found."
EXT-ra-litong-dem-796248b689,Ministry of Foreign Trade and Economic Relations,Bosnia and Herzegovina,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry of Foreign Trade and Economic Relations was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-79f9e40784,Ministry Of Foreign Affairs,South Korea,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry Of Foreign Affairs was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-85f7d2aa35,Ministry Of Economy & Finance,South Korea,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry Of Economy & Finance was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-868301fa2b,"Ministry of Ecology, Spatial Planning and Urbanism",Montenegro,executive,national,no,1,1,ra_litong_dem_v1,0,,,"Ministry of Ecology, Spatial Planning and Urbanism was checked in RA manual coding and no generative AI activity was found."
EXT-ra-litong-dem-8708d54ae5,Secretariat of Communications and Presidential Strategy,Honduras,executive,national,no,1,1,ra_litong_dem_v1,0,,,Secretariat of Communications and Presidential Strategy was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-8b46b72149,Ministry of Justice,Georgia,executive,national,unclear,1,1,ra_litong_dem_v1,0,,,"Ministry of Justice has possible AI activity in RA manual coding, but the evidence does not clearly confirm generative AI."
EXT-ra-litong-dem-937dc399ba,Ministry of Foreign Affairs and Foreign Trade,North Macedonia,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry of Foreign Affairs and Foreign Trade was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-9a669abaca,Ministry of Social Affairs and Housing,Suriname,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry of Social Affairs and Housing was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-9e1884e4f1,Department of Transport,Ireland,executive,national,unclear,1,1,ra_litong_dem_v1,0,,,"Department of Transport has possible AI activity in RA manual coding, but the evidence does not clearly confirm generative AI."
EXT-ra-litong-dem-9e7b6fec60,Ministry of Trade and Industry,Malawi,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry of Trade and Industry was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-a1881bc6f5,Ministry of National Defence,Colombia,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry of National Defence was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-a2f5f5ac08,"Ministry of Public Administration, Provincial Councils and Local Government",Sri Lanka,executive,national,no,1,1,ra_litong_dem_v1,0,,,"Ministry of Public Administration, Provincial Councils and Local Government was checked in RA manual coding and no generative AI activity was found."
EXT-ra-litong-dem-a451b9c534,Ministry of Commerce and Industries,Panama,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry of Commerce and Industries was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-a735ae9569,Ministry Of Defense,Timor-Leste,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry Of Defense was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-a739333f45,Ministry of Labour and Employment,Brazil,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry of Labour and Employment was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-a891a28fe0,Ministry of Petroleum and Minerals,Timor-Leste,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry of Petroleum and Minerals was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-a93f7d27c0,"Ministry of Investments, Trade and Industry",Kenya,executive,national,no,1,1,ra_litong_dem_v1,0,,,"Ministry of Investments, Trade and Industry was checked in RA manual coding and no generative AI activity was found."
EXT-ra-litong-dem-a9e8c27f2d,Ministry of Regional Development and Sport,Suriname,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry of Regional Development and Sport was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-abfd381b8e,Ministry Of Justice,Bulgaria,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry Of Justice was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-ae0f2e6161,New Zealand Police,New Zealand,executive,national,unclear,1,1,ra_litong_dem_v1,0,,,"New Zealand Police has possible AI activity in RA manual coding, but the evidence does not clearly confirm generative AI."
EXT-ra-litong-dem-b866c7094a,Ministry of the Public Service and the Reform of the State,France,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry of the Public Service and the Reform of the State was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-beaa9b7f24,Ministry Of Agriculture,Zambia,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry Of Agriculture was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-c80cc9dfe2,"Ministry Of Commerce, Industry, & Tourism",Colombia,executive,national,no,1,1,ra_litong_dem_v1,0,,,"Ministry Of Commerce, Industry, & Tourism was checked in RA manual coding and no generative AI activity was found."
EXT-ra-litong-dem-ccd09f40da,"Ministry of Justice, Law and Parliamentary Affairs",Lesotho,executive,national,no,1,1,ra_litong_dem_v1,0,,,"Ministry of Justice, Law and Parliamentary Affairs was checked in RA manual coding and no generative AI activity was found."
EXT-ra-litong-dem-d536d10833,Ministry of Finance of the Republic of Srpska,Bosnia & Herzegovina,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry of Finance of the Republic of Srpska was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-e07648c62a,Ministry of Agriculture and Environment,Cape Verde,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry of Agriculture and Environment was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-e2c583ab28,"Ministry of Infrastructure, Housing and Urban Development",Zambia,executive,national,no,1,1,ra_litong_dem_v1,0,,,"Ministry of Infrastructure, Housing and Urban Development was checked in RA manual coding and no generative AI activity was found."
EXT-ra-litong-dem-e66d7b163e,Ministry Of Energy,Sri Lanka,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry Of Energy was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-ef6de0302d,Ministry of Community Development and Social Services,Zambia,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry of Community Development and Social Services was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-efbb3fa937,Ministry Of Interior,Timor-Leste,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry Of Interior was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-f16e06f1cb,"Ministry of Local Government, Unity and Culture",Malawi,executive,national,no,1,1,ra_litong_dem_v1,0,,,"Ministry of Local Government, Unity and Culture was checked in RA manual coding and no generative AI activity was found."
EXT-ra-litong-dem-f32f1266ea,Ministry of Culture,Lithuania,executive,national,no,1,1,ra_litong_dem_v1,0,,,Ministry of Culture was checked in RA manual coding and no generative AI activity was found.
EXT-ra-litong-dem-f54b4b8022,"Ministry of Agriculture, Livestock, Land and Irrigation",Sri Lanka,executive,national,no,1,1,ra_litong_dem_v1,0,,,"Ministry of Agriculture, Livestock, Land and Irrigation was checked in RA manual coding and no generative AI activity was found."
EXT-ra-litong-dem-fe3556b09c,Ministry of Housing and Urban Development,New Zealand,executive,national,yes,1,1,ra_litong_dem_v1,1,Internal assistant / knowledge base (RAG) Internal administration (HR/finance/procurement),Microsoft (Copilot/Azure OpenAI),Ministry of Housing and Urban Development has documented generative AI activity in RA manual coding.
INST-0002,House of Elders,Afghanistan,legislative,national,no,1,1,chatgpt_web_v1,0,,,"Reviewed current parliamentary reference pages and targeted web searches in English; the House of Elders is suspended after 2021 and no institution-specific GenAI adoption, pilot, or policy was found."
INST-0003,Parliament,Albania,legislative,national,unclear,2,1,chatgpt_web_v1,0,,,"Albanian media reported an AI-based transcription tender for parliament, but no primary source confirmed it was generative AI, and no explicit GenAI deployment or policy was found on the Parliament's site."
INST-0004,Council of the Nation,Algeria,legislative,national,unclear,1,1,chatgpt_web_v1,0,,,"Official Council posts show staff participation in AI-in-parliaments webinars and responsible-AI events, but no source confirmed a named generative-AI tool, policy, or deployment at the chamber."
INST-0006,General Council,Andorra,legislative,national,no,1,1,chatgpt_web_v1,0,,,"Checked the General Council’s official site and Catalan/English web results; found no evidence of generative-AI adoption, pilots, policies, or deployments at the parliament."
INST-0008,Senate,Antigua and Barbuda,legislative,national,no,1,1,chatgpt_web_v1,0,,,"Searched Antigua and Barbuda Senate sources and targeted web queries; found no evidence of a Senate-specific GenAI tool, pilot, policy, or deployment."
